id,zip,location,city,population,people_per_sqmi,rank
302,11542,"40.869660, -73.628113","Glen Cove,ÊNew York",27693,3851.36,"#2,437"
303,10923,"41.203213, -74.002535","Garnerville,ÊNew York",9273,3839.4,"#2,448"
304,11741,"40.794354, -73.069968","Holbrook,ÊNew York",27857,3777.43,"#2,501"
305,11751,"40.733051, -73.212519","Islip,ÊNew York",15083,3740.96,"#2,532"
306,10503,"41.025560, -73.874987","Ardsley On Hudson,ÊNew York",115,3711.09,"#2,553"
307,14445,"43.113720, -77.489532","East Rochester,ÊNew York",8179,3627.26,"#2,628"
308,12801,"43.312294, -73.645255","Glens Falls,ÊNew York",14374,3620.84,"#2,638"
309,11548,"40.814616, -73.622003","Greenvale,ÊNew York",2514,3577.51,"#2,686"
310,11798,"40.751870, -73.371077","Wyandanch,ÊNew York",15199,3564.91,"#2,699"
311,10605,"41.007018, -73.744338","White Plains,ÊNew York",17414,3539.91,"#2,714"
312,11950,"40.809045, -72.847221","Mastic,ÊNew York",14583,3510.68,"#2,741"
313,11731,"40.862927, -73.316829","East Northport,ÊNew York",31250,3510.64,"#2,742"
314,10952,"41.116210, -74.078881","Monsey,ÊNew York",31947,3484.57,"#2,760"
315,11755,"40.858961, -73.120478","Lake Grove,ÊNew York",11402,3475.49,"#2,765"
316,11706,"40.720471, -73.259399","Bay Shore,ÊNew York",60460,3435.12,"#2,794"
317,10960,"41.092282, -73.925728","Nyack,ÊNew York",14687,3431.92,"#2,798"
318,11718,"40.723177, -73.268488","Brightwaters,ÊNew York",3061,3431.7,"#2,799"
319,10603,"41.057813, -73.777196","White Plains,ÊNew York",16389,3426.9,"#2,801"
320,14610,"43.143492, -77.545899","Rochester,ÊNew York",14534,3424.82,"#2,802"
321,11720,"40.869907, -73.081937","Centereach,ÊNew York",28105,3394.21,"#2,830"
322,11509,"40.587962, -73.729710","Atlantic Beach,ÊNew York",2861,3375.95,"#2,841"
323,14043,"42.900438, -78.701764","Depew,ÊNew York",26537,3365.1,"#2,851"
324,14802,"42.254333, -77.789646","Alfred,ÊNew York",3954,3323.13,"#2,889"
325,13219,"43.041266, -76.224195","Syracuse,ÊNew York",15700,3294.1,"#2,921"
326,11530,"40.728551, -73.631351","Garden City,ÊNew York",26482,3276.11,"#2,948"
327,11767,"40.847754, -73.145703","Nesconset,ÊNew York",13841,3271.23,"#2,951"
328,10528,"40.974752, -73.725777","Harrison,ÊNew York",12312,3238.25,"#2,994"
329,10804,"40.946841, -73.788051","New Rochelle,ÊNew York",14131,3211.79,"#3,010"
330,11738,"40.837386, -73.037968","Farmingville,ÊNew York",16811,3211.46,"#3,011"
